age,age_basket,job,marital,education,balance,balance_basket,default,housing,loan,contact,day,month,duration,duration_mins,duration_bucket,campaign,campaign_capped,pdays,previous,poutcome,term_deposit,term_deposit_numeric
58,50-66,management,married,tertiary,2143,High (2K+),no,yes,no,unknown,5,may,261,4.35,3-5 mins,1,1,-1,0,unknown,no,0
44,35-49,technician,single,secondary,29,Low (0-500),no,yes,no,unknown,5,may,151,2.52,1-3 mins,1,1,-1,0,unknown,no,0
33,25-34,entrepreneur,married,secondary,2,Low (0-500),no,yes,yes,unknown,5,may,76,1.27,1-3 mins,1,1,-1,0,unknown,no,0
47,35-49,blue-collar,married,unknown,1506,Medium (500-2K),no,yes,no,unknown,5,may,92,1.53,1-3 mins,1,1,-1,0,unknown,no,0
33,25-34,unknown,single,unknown,1,Low (0-500),no,no,no,unknown,5,may,198,3.3,3-5 mins,1,1,-1,0,unknown,no,0
35,35-49,management,married,tertiary,231,Low (0-500),no,yes,no,unknown,5,may,139,2.32,1-3 mins,1,1,-1,0,unknown,no,0
28,25-34,management,single,tertiary,447,Low (0-500),no,yes,yes,unknown,5,may,217,3.62,3-5 mins,1,1,-1,0,unknown,no,0
42,35-49,entrepreneur,divorced,tertiary,2,Low (0-500),yes,yes,no,unknown,5,may,380,6.33,5-10 mins,1,1,-1,0,unknown,no,0
58,50-66,retired,married,primary,121,Low (0-500),no,yes,no,unknown,5,may,50,0.83,<1 min,1,1,-1,0,unknown,no,0
43,35-49,technician,single,secondary,593,Medium (500-2K),no,yes,no,unknown,5,may,55,0.92,<1 min,1,1,-1,0,unknown,no,0
41,35-49,admin.,divorced,secondary,270,Low (0-500),no,yes,no,unknown,5,may,222,3.7,3-5 mins,1,1,-1,0,unknown,no,0
29,25-34,admin.,single,secondary,390,Low (0-500),no,yes,no,unknown,5,may,137,2.28,1-3 mins,1,1,-1,0,unknown,no,0
53,50-66,technician,married,secondary,6,Low (0-500),no,yes,no,unknown,5,may,517,8.62,5-10 mins,1,1,-1,0,unknown,no,0
58,50-66,technician,married,unknown,71,Low (0-500),no,yes,no,unknown,5,may,71,1.18,1-3 mins,1,1,-1,0,unknown,no,0
